신호시각,종목,진입가,MFE%,MAE%,종료가,실현수익%,5%달성,국면,진입체결강도,청산사유
2026-05-27 04:35:40,WLD,562,2.67,-0.89,563,0.18,X,WEAK,6.9,time
2026-05-27 05:30:42,SEI,98.3,0.92,-1.42,98.9,0.61,X,WEAK,9999.0,time
2026-05-27 05:34:42,LA,167,0.60,-0.60,167,0.00,X,WEAK,0.0,time
2026-05-27 05:56:43,SHIB,0.00821,0.37,-0.37,0.00822,0.12,X,WEAK,38157.8,time
2026-05-27 07:02:46,PENGU,12.7,0.00,-1.57,12.6,-0.79,X,WEAK,9999.0,time
2026-05-27 07:38:46,CHZ,53.3,2.06,-1.69,52.4,-1.69,X,WEAK,3845.6,time
2026-05-27 08:57:50,WLD,556,0.90,-5.04,528.1999999999999,-5.00,X,WEAK,16.3,stop
2026-05-27 08:04:48,ONDO,609,0.16,-2.30,607,-0.33,X,WEAK,9999.0,time
2026-05-27 08:05:47,ZRO,1908,0.58,-2.52,1868,-2.10,X,WEAK,151.5,time
2026-05-27 08:12:48,XPL,132,0.76,-3.03,129,-2.27,X,WEAK,0.0,time
2026-05-27 09:20:50,ORCA,2031,0.64,-5.02,1929.4499999999998,-5.00,X,WEAK,457.7,stop
2026-05-27 08:56:49,NEAR,3773,2.15,-3.45,3677,-2.54,X,WEAK,28.6,time
2026-05-27 09:26:51,DRIFT,73,5.34,-2.47,73,2.50,O,WEAK,871.2,breakeven
2026-05-27 10:05:56,CHIP,64.4,2.33,-2.64,63.4,-1.55,X,WEAK,0.7,time
2026-05-27 10:15:52,B3,1.22,0.82,-0.82,1.23,0.82,X,WEAK,9999.0,time
2026-05-27 10:39:53,SAHARA,46.8,5.56,-1.50,47.9,3.68,O,WEAK,403.2,time_tp1
2026-05-27 11:01:54,DKA,7.96,1.38,-1.63,8.03,0.88,X,WEAK,27.5,time
2026-05-27 11:59:55,WLD,532,5.64,-2.26,544,3.63,O,WEAK,241.8,time_tp1
2026-05-27 12:00:56,PENGU,12.6,0.00,-3.17,12.5,-0.79,X,WEAK,6698.5,time
2026-05-27 14:46:00,TRAC,638,2.66,-5.02,606.1,-5.00,X,WEAK,317.1,stop
2026-05-27 13:06:57,KAITO,741,0.00,-1.35,738,-0.40,X,WEAK,0.0,time
2026-05-27 13:21:58,NEAR,3664,3.90,-0.08,3793,3.52,X,WEAK,28.7,time
2026-05-27 14:34:00,SEI,102,5.88,0.00,107,4.90,O,WEAK,15478.4,time
2026-05-27 19:00:08,ALT,13.1,0.76,-5.34,12.444999999999999,-5.00,X,WEAK,0.6,stop
2026-05-27 15:21:01,SUI,1481,0.54,-1.15,1473,-0.54,X,WEAK,0.0,time
2026-05-27 15:22:01,APT,1434,1.53,-0.84,1429,-0.35,X,WEAK,0.0,time
2026-05-27 16:02:02,PENGU,12.5,0.80,-0.80,12.4,-0.80,X,WEAK,9999.0,time
2026-05-27 18:52:08,IN,139,0.00,-5.76,132.04999999999998,-5.00,X,WEAK,0.0,stop
2026-05-27 16:27:03,WLD,529,2.84,-2.65,533,0.76,X,WEAK,17.6,time
2026-05-27 16:33:03,SAHARA,49.4,0.20,-4.05,48.6,-1.62,X,WEAK,720.4,time
2026-05-27 17:35:05,NEAR,3752,1.25,-3.36,3725,-0.72,X,WEAK,0.0,time
2026-05-27 22:05:15,TRAC,651,0.00,-5.22,618.4499999999999,-5.00,X,WEAK,52.9,stop
2026-05-27 21:45:13,ALT,12.3,0.81,-5.69,11.685,-5.00,X,WEAK,187.4,stop
2026-05-27 18:34:07,SEI,107,0.93,-5.61,101.64999999999999,-5.00,X,WEAK,63.2,stop
2026-05-27 18:42:07,INJ,8370,2.99,-1.61,8255,-1.37,X,WEAK,0.5,time
2026-05-27 22:02:15,VIRTUAL,1220,0.25,-5.00,1159,-5.00,X,WEAK,4457.6,stop
2026-05-27 20:34:10,ATH,10.1,1.98,-5.05,9.594999999999999,-5.00,X,WEAK,0.0,stop
2026-05-27 21:10:12,WLD,535,2.24,-1.31,538,0.56,X,WEAK,2824.8,time
2026-05-27 21:19:12,ONDO,592,1.52,-2.20,587,-0.84,X,WEAK,4665.3,time
2026-05-28 00:06:17,XPL,131,5.34,0.00,131,2.50,O,WEAK,9999.0,breakeven
2026-05-27 21:50:13,ONG,99.9,1.10,-3.50,97,-2.90,X,WEAK,1648.0,time
2026-05-27 21:52:14,NEAR,3741,3.23,-1.50,3765,0.64,X,WEAK,324.7,time
2026-05-27 23:15:16,PROS,974,2.36,-1.64,977,0.31,X,WEAK,169.8,time
2026-05-27 23:20:17,TRAC,619,1.45,-1.29,619,0.00,X,WEAK,12.3,time
2026-05-28 01:19:22,WLD,530,0.00,-5.09,503.5,-5.00,X,WEAK,32.3,stop
2026-05-27 23:47:17,WIF,282,2.13,-1.06,279,-1.06,X,WEAK,614224.0,time
2026-05-28 00:01:17,SOON,272,0.37,-1.47,271,-0.37,X,WEAK,9999.0,time
2026-05-28 00:01:17,VIRTUAL,1150,2.17,-1.83,1144,-0.52,X,WEAK,650.3,time
2026-05-28 00:01:17,DRIFT,66.2,0.15,-1.96,65.8,-0.60,X,WEAK,9999.0,time
2026-05-28 00:02:17,PEPE,0.0052,1.92,-0.77,0.00521,0.19,X,WEAK,1045598.5,time
2026-05-28 00:02:17,MEGA,101,0.99,-1.98,101,0.00,X,WEAK,9999.0,time
2026-05-28 00:03:17,LINK,13820,0.87,-1.45,13710,-0.80,X,WEAK,9999.0,time
2026-05-28 00:07:17,IN,137,3.65,-0.73,137,0.00,X,WEAK,9999.0,time
2026-05-28 00:10:17,ALT,11.8,1.69,-3.39,11.6,-1.69,X,WEAK,429.0,time
2026-05-28 00:11:18,PENGU,12.4,1.61,-1.61,12.4,0.00,X,WEAK,9999.0,time
2026-05-28 00:12:18,SAND,104,1.92,-0.96,104,0.00,X,WEAK,493180.6,time
2026-05-28 00:12:18,SIGN,18.4,1.63,0.00,18.6,1.09,X,WEAK,2386.2,time
2026-05-28 00:13:18,ENA,144,1.39,-3.47,141,-2.08,X,WEAK,9999.0,time
2026-05-28 00:23:20,SEI,104,0.00,-3.85,102,-1.92,X,WEAK,1606.6,time
2026-05-28 01:33:23,ONDO,586,0.68,-1.19,586,0.00,X,WEAK,9999.0,time
2026-05-28 01:57:23,XPL,133,0.00,-4.51,132,-0.75,X,WEAK,0.0,time
2026-05-28 02:04:24,NEAR,3787,6.42,-2.03,3841,3.21,O,WEAK,9999.0,time_tp1
2026-05-28 02:22:25,SUI,1453,0.21,-1.51,1450,-0.21,X,WEAK,3635766.0,time
2026-05-28 03:40:26,PROS,978,1.74,-2.35,964,-1.43,X,WEAK,0.0,time
2026-05-28 05:01:07,FF,155,1.29,-3.87,151,-2.58,X,WEAK,0.0,time
2026-05-28 06:01:11,IN,137,5.11,-2.92,144,5.05,O,WEAK,0.0,time_tp1
2026-05-28 06:35:11,NEAR,3763,1.49,-5.16,3577,-4.94,X,WEAK,0.0,time
2026-05-28 06:35:11,NEAR,3763,1.49,-5.16,3572,-5.08,X,WEAK,0.0,time
2026-05-28 06:44:12,TRAC,636,7.23,-2.52,668,5.02,O,WEAK,0.0,time_tp1
2026-05-28 07:32:17,DRIFT,65.2,5.52,-4.29,65.2,2.50,O,WEAK,0.0,breakeven
2026-05-28 07:32:17,DRIFT,65.2,5.52,-4.29,65.2,2.50,O,WEAK,0.0,breakeven
2026-05-28 10:58:42,CPOOL,47.2,4.66,-1.91,46.3,-1.91,X,WEAK,0.0,time
