종목,1틱최대순매수,2억이상횟수,누적순매수,최대매수액,최대매도액,최대체결당금액만,총체결수,거래대금억,최대매수벽비율,최소총매도잔량
SOMI,0.219,0,1.0,0.219,0.196,199.0,312,3.0,2.021,368641.6
GMT,0.219,0,1.9,0.219,0.176,364.0,1072,6.0,1.642,11781046.0
CARV,0.213,0,2.7,0.311,0.682,82.0,2381,11.0,3.565,620476.7
CVC,0.213,0,1.4,0.303,0.205,109.0,724,3.0,1.506,1640038.9
ARK,0.212,0,2.3,0.241,0.223,123.0,1572,6.0,0.829,1050782.9
2Z,0.212,0,1.5,0.212,0.4,531.0,530,4.0,0.819,1423089.7
SPK,0.209,0,5.1,0.209,0.408,123.0,2824,18.0,1.716,4593890.5
OP,0.209,0,2.9,0.209,0.335,99.0,770,7.0,4.46,1054226.4
TOSHI,0.208,0,2.3,0.208,0.202,208.0,898,6.0,2.782,201811750.7
STORJ,0.207,0,1.2,0.207,0.193,138.0,488,3.0,1.288,1328156.9
POLYX,0.206,0,1.9,0.206,0.131,229.0,956,5.0,2.164,851041.9
A,0.205,0,2.1,0.238,0.218,120.0,1380,5.0,4.443,62223.4
HYPER,0.202,0,3.5,0.203,0.255,113.0,1386,9.0,0.991,2316910.8
ESP,0.2,0,1.9,0.212,0.361,102.0,772,5.0,0.791,1604364.3
KAVA,0.198,0,0.7,0.202,0.04,257.0,391,1.0,2.018,223215.3
WAL,0.197,0,6.1,0.225,0.367,54.0,3022,20.0,1.877,1353916.1
GAS,0.194,0,1.9,0.204,0.375,194.0,1178,5.0,2.536,13174.6
API3,0.194,0,0.8,0.194,0.124,389.0,540,2.0,2.267,65974.4
MIRA,0.192,0,2.0,0.247,0.197,376.0,1841,8.0,1.822,650974.1
MOODENG,0.191,0,3.0,0.265,0.384,174.0,1108,9.0,2.579,802461.8
AZTEC,0.191,0,3.2,0.193,0.281,217.0,1408,9.0,1.525,4983119.2
EDGE,0.189,0,1.0,0.203,0.09,25.0,1278,3.0,1.358,210537.3
RVN,0.187,0,1.0,0.187,0.124,64.0,791,3.0,2.062,5715407.2
WCT,0.186,0,2.1,0.186,0.158,186.0,1108,5.0,1.101,790529.7
WAVES,0.184,0,1.7,0.184,0.184,84.0,1029,5.0,1.24,175899.5
ORBS,0.181,0,3.9,0.48,0.314,43.0,4496,14.0,16.281,940492.0
PENDLE,0.178,0,3.8,0.2,0.456,71.0,1368,7.0,1.748,22948.7
ALT,0.178,0,6.7,1.299,1.866,58.0,7687,46.0,4.211,4056523.8
AXL,0.178,0,1.2,0.178,0.32,137.0,691,4.0,1.724,635117.8
HOLO,0.175,0,2.0,0.198,0.105,437.0,921,5.0,0.748,1100375.2
POWR,0.174,0,0.8,0.174,0.11,145.0,468,2.0,1.59,374040.8
ZKC,0.173,0,1.8,0.201,0.195,79.0,1040,5.0,2.846,484039.6
ATH,0.167,0,3.7,0.234,0.198,88.0,1672,11.0,2.583,10174008.8
SEI,0.163,0,7.0,0.185,0.292,320.0,2834,19.0,4.497,951041.0
F,0.16,0,2.7,0.196,0.21,232.0,1248,9.0,1.804,9335770.4
PUNDIX,0.155,0,5.1,0.155,0.194,141.0,1376,10.0,1.067,1189139.3
WET,0.154,0,0.6,0.154,0.042,219.0,451,1.0,1.282,471730.1
LINEA,0.154,0,1.2,0.154,0.197,221.0,610,4.0,1.801,7890165.7
WAXP,0.153,0,1.4,0.192,0.088,73.0,828,3.0,1.351,4999473.8
APT,0.152,0,3.8,0.265,0.458,127.0,2841,17.0,5.749,29396.1
SOPH,0.15,0,2.6,0.2,0.224,100.0,2204,9.0,2.732,4820254.5
MEW,0.15,0,1.8,0.151,0.114,191.0,1171,4.0,1.901,95152878.1
MNT,0.149,0,0.4,0.149,0.278,745.0,218,1.0,9.176,42243.7
TREE,0.147,0,3.6,0.147,0.657,113.0,2521,15.0,4.828,260232.2
DEEP,0.147,0,2.9,0.237,0.29,245.0,1437,8.0,1.835,2576458.7
QTUM,0.146,0,1.1,0.146,0.172,133.0,642,2.0,3.263,23574.3
T,0.145,0,0.9,0.213,0.097,235.0,554,3.0,1.042,9241077.3
HUNT,0.143,0,0.7,0.143,0.084,130.0,460,2.0,0.58,2994702.4
ANIME,0.143,0,2.1,0.233,0.203,231.0,1187,6.0,1.958,12735442.9
ONT,0.142,0,2.2,0.273,0.289,126.0,1577,8.0,1.51,834362.5
VET,0.142,0,1.4,0.142,0.262,36.0,1192,4.0,2.815,5911471.5
BLUR,0.14,0,1.7,0.213,0.249,230.0,826,5.0,2.53,1713680.8
DKA,0.139,0,1.1,0.287,0.19,24.0,1473,3.0,1.424,8101822.6
SYRUP,0.138,0,1.2,0.212,0.282,86.0,834,4.0,1.621,454389.4
XTZ,0.137,0,0.5,0.137,0.125,228.0,336,1.0,2.134,88985.0
ORCA,0.132,0,2.0,0.132,0.105,18.0,1292,5.0,2.421,22008.2
MINA,0.131,0,1.0,0.175,0.092,146.0,586,3.0,5.158,155297.6
OPEN,0.125,0,4.0,0.125,0.243,418.0,2211,10.0,2.478,239658.8
MMT,0.125,0,0.6,0.127,0.094,144.0,207,1.0,1.57,418051.4
CELO,0.124,0,0.8,0.162,0.101,223.0,563,2.0,2.522,334876.3
0G,0.124,0,2.2,0.153,0.364,91.0,1531,9.0,2.199,97470.7
UP2,0.123,0,2.9,0.145,0.4,205.0,3556,11.0,4.933,162223.6
VTHO,0.122,0,1.7,0.236,0.207,115.0,966,5.0,1.776,94141333.1
1INCH,0.12,0,0.5,0.12,0.151,200.0,285,1.0,0.63,1433503.0
G,0.12,0,1.6,0.126,0.194,330.0,812,4.0,1.789,13810608.1
BREV,0.118,0,2.0,0.118,0.185,591.0,626,4.0,2.193,888417.5
IMX,0.117,0,0.8,0.117,0.192,390.0,385,2.0,1.137,430484.9
TRUST,0.117,0,1.5,0.141,0.142,184.0,959,4.0,1.039,877388.7
MLK,0.11,0,0.8,0.202,0.099,178.0,903,2.0,1.251,655529.2
XCN,0.11,0,0.8,0.11,0.059,548.0,341,1.0,2.374,5906563.1
AQT,0.109,0,1.1,0.143,0.195,49.0,944,3.0,2.619,59138.9
COMP,0.107,0,0.8,0.107,0.096,98.0,398,2.0,2.513,931.6
YGG,0.104,0,0.7,0.104,0.102,522.0,288,1.0,2.819,798663.9
GLM,0.102,0,0.9,0.102,0.085,204.0,429,2.0,1.46,473647.6
MET2,0.102,0,0.7,0.102,0.1,73.0,276,1.0,1.825,366833.9
SNT,0.1,0,1.5,0.116,0.176,147.0,950,5.0,0.826,32743655.0
TIA,0.099,0,0.7,0.188,0.195,330.0,424,2.0,1.222,121123.7
BSV,0.098,0,1.3,0.104,0.134,46.0,1656,4.0,3.265,896.2
AHT,0.098,0,0.4,0.102,0.069,71.0,348,1.0,1.324,42634447.6
BOUNTY,0.096,0,1.1,0.096,0.086,962.0,884,2.0,0.935,4930487.6
VANA,0.096,0,0.8,0.208,0.185,168.0,522,3.0,2.326,15658.9
SAFE,0.095,0,1.1,0.095,0.143,159.0,449,3.0,0.949,502226.3
NEWT,0.092,0,0.9,0.092,0.117,48.0,663,3.0,1.68,199592.2
META,0.092,0,0.5,0.092,0.077,102.0,341,1.0,0.364,28575493.1
LSK,0.091,0,1.2,0.102,0.244,226.0,650,3.0,0.581,1000491.1
MASK,0.091,0,0.4,0.131,0.166,76.0,453,2.0,6.098,19014.9
RED,0.089,0,0.4,0.121,0.202,128.0,262,1.0,1.94,400302.6
ZRX,0.088,0,1.3,0.098,0.162,155.0,424,3.0,2.447,298684.7
BEAM,0.088,0,1.1,0.153,0.137,221.0,762,3.0,1.645,15581976.1
CRO,0.087,0,1.0,0.092,0.064,48.0,623,2.0,1.619,338016.7
CKB,0.086,0,1.1,0.086,0.095,54.0,538,3.0,1.027,52757151.1
HP,0.085,0,0.6,0.087,0.209,848.0,496,2.0,1.244,5676565.0
GAME2,0.082,0,0.3,0.082,0.097,204.0,948,1.0,0.386,56618113.6
MANA,0.08,0,1.0,0.138,0.187,326.0,810,2.0,1.153,618349.9
ZAMA,0.08,0,1.3,0.084,0.138,282.0,579,3.0,3.447,257918.2
WIF,0.075,0,0.2,0.075,0.051,187.0,184,1.0,1.997,98268.3
XEC,0.074,0,1.0,0.315,0.243,742.0,886,4.0,2.667,2314019117.5
MED,0.073,0,0.5,0.073,0.059,91.0,721,1.0,1.567,25656594.2
ETHFI,0.071,0,0.4,0.071,0.047,237.0,301,1.0,1.964,120146.2
TFUEL,0.069,0,0.5,0.069,0.062,690.0,336,1.0,0.646,10087893.2
AUCTION,0.069,0,0.5,0.076,0.125,105.0,480,2.0,2.341,4458.0
MTL,0.065,0,0.8,0.065,0.089,28.0,703,2.0,1.037,121092.8
KNC,0.062,0,0.5,0.062,0.102,103.0,192,1.0,1.238,546204.0
COW,0.061,0,0.3,0.198,0.137,558.0,126,1.0,1.977,84942.3
IOST,0.058,0,0.6,0.072,0.132,144.0,545,2.0,2.053,50693043.2
THETA,0.058,0,0.6,0.059,0.069,149.0,320,1.0,1.882,154446.2
MOC,0.055,0,0.6,0.055,0.073,274.0,525,2.0,0.663,4620085.8
SUPER,0.055,0,0.4,0.055,0.08,275.0,131,1.0,1.286,447171.9
NEO,0.054,0,0.8,0.072,0.1,125.0,655,2.0,2.604,5347.6
SC,0.053,0,0.7,0.062,0.073,66.0,508,2.0,0.815,140724900.5
TT,0.05,0,0.3,0.052,0.094,250.0,308,1.0,0.164,168730504.5
ORDER,0.05,0,0.3,0.063,0.051,500.0,368,2.0,1.503,605653.9
TOKAMAK,0.05,0,0.3,0.05,0.105,99.0,708,1.0,2.621,42554.8
ELF,0.05,0,0.5,0.05,0.05,18.0,632,1.0,3.713,126479.7
AERO,0.05,0,0.3,0.05,0.09,125.0,121,1.0,3.045,21224.2
BAT,0.049,0,0.3,0.049,0.069,488.0,213,1.0,0.685,1258193.6
MVL,0.048,0,0.2,0.048,0.019,80.0,242,0.0,0.581,89103580.2
ERA,0.044,0,0.4,0.05,0.156,220.0,271,2.0,1.375,493719.9
LPT,0.044,0,0.2,0.045,0.044,93.0,278,1.0,1.449,11160.1
CBK,0.044,0,0.4,0.048,0.061,31.0,695,1.0,2.238,129412.5
ICX,0.042,0,0.3,0.042,0.064,139.0,266,1.0,2.075,630811.1
BORA,0.04,0,0.6,0.062,0.223,38.0,960,2.0,1.134,1926770.3
IQ,0.04,0,0.3,0.04,0.105,31.0,459,1.0,0.981,88304023.4
MBL,0.039,0,0.3,0.039,0.06,98.0,347,1.0,0.267,235842552.2
CYBER,0.031,0,0.4,0.046,0.217,153.0,727,2.0,5.039,21008.3
SUN,0.028,0,0.1,0.028,0.089,141.0,112,0.0,0.776,1567459.4
QKC,0.022,0,0.1,0.029,0.049,74.0,287,1.0,1.179,7141854.0
EGLD,0.018,0,0.1,0.018,0.059,25.0,341,0.0,2.861,1803.6
USD1,0.01,0,0.1,0.01,0.042,98.0,742,0.0,0.389,51874.3
USDE,0.005,0,0.0,0.005,0.01,23.0,110,0.0,4.603,19738.3
USDS,0.005,0,0.0,0.005,0.006,25.0,29,0.0,3.867,7990.3
DRIFT,0.004,0,0.0,0.004,0.0,37.0,1,0.0,0,0
